head,prob,reduction
L5H1,0.02459154650568962,0.6837253984692891
L5H5,0.05556466430425644,0.285376702195184
L7H10,0.07163432240486145,0.07870305068946379
L7H2,0.07904143631458282,-0.016560661161586273
L6H9,0.06984252482652664,0.10174755766995888
