repetitions,type,prob_base,prob_ablated,reduction
1,random,0.04506165534257889,0.02881263568997383,0.36059526728596036
1,continue,0.09635903686285019,0.06232079863548279,0.3532438610383241
3,random,0.044427983462810516,0.02613554149866104,0.41173243839576
3,continue,0.022392408922314644,0.02901657670736313,-0.2958220264746649
5,random,0.042683206498622894,0.02916925586760044,0.3166104831289669
5,continue,0.010974643751978874,0.07057119905948639,-5.430386320900983
10,random,0.04035678505897522,0.03330247849225998,0.1747985266023163
10,continue,0.0014026936842128634,0.00887852068990469,-5.3296219194762875
